,datetime,year,month,day,hour,day_of_week,site,energy_type,energy_generated_mwh,capacity_utilization_%,temperature_c,cloud_cover_%,wind_speed_m_s,day_type,season,quarter,days
0,2023-01-01 06:00:00,2023,1,1,6,Sunday,Site_B,Solar,66.99,66.99,25.73,20.48,0.0,Weekend,Winter,1,1
1,2023-01-01 07:00:00,2023,1,1,7,Sunday,Site_C,Solar,67.94,67.94,27.57,37.11,0.0,Weekend,Winter,1,1
2,2023-01-01 09:15:00,2023,1,1,9,Sunday,Site_A,Wind,43.2,43.2,4.97,49.61,8.0,Weekend,Winter,1,1
3,2023-01-01 11:00:00,2023,1,1,11,Sunday,Site_C,Wind,44.52,44.52,20.74,62.11,7.88,Weekend,Winter,1,1
4,2023-01-01 16:30:00,2023,1,1,16,Sunday,Site_A,Solar,28.86,28.86,21.57,74.61,0.0,Weekend,Winter,1,1
5,2023-01-01 17:45:00,2023,1,1,17,Sunday,Site_B,Wind,67.63,67.63,19.1,69.015,12.56,Weekend,Winter,1,1
6,2023-01-02 11:15:00,2023,1,2,11,Monday,Site_A,Solar,35.64,35.64,26.62,63.42,0.0,Weekday,Winter,1,2
7,2023-01-02 11:30:00,2023,1,2,11,Monday,Site_A,Wind,27.41,27.41,11.27,32.620000000000005,7.84,Weekday,Winter,1,2
8,2023-01-02 12:00:00,2023,1,2,12,Monday,Site_B,Solar,91.11,91.11,29.2,1.82,0.0,Weekday,Winter,1,2
9,2023-01-02 14:00:00,2023,1,2,14,Monday,Site_C,Solar,31.49,31.49,20.5,72.25,0.0,Weekday,Winter,1,2
10,2023-01-02 15:45:00,2023,1,2,15,Monday,Site_B,Wind,47.55,47.55,5.5,75.075,10.01,Weekday,Winter,1,2
11,2023-01-02 17:15:00,2023,1,2,17,Monday,Site_C,Wind,33.66,33.66,8.25,77.9,7.89,Weekday,Winter,1,2
12,2023-01-03 06:00:00,2023,1,3,6,Tuesday,Site_A,Wind,49.5,49.5,21.6,80.725,11.66,Weekday,Winter,1,3
13,2023-01-03 08:00:00,2023,1,3,8,Tuesday,Site_A,Solar,32.55,32.55,30.4,83.55,0.0,Weekday,Winter,1,3
14,2023-01-03 09:00:00,2023,1,3,9,Tuesday,Site_C,Solar,53.17,53.17,20.6,44.79,0.0,Weekday,Winter,1,3
15,2023-01-03 09:30:00,2023,1,3,9,Tuesday,Site_B,Solar,60.74,60.74,27.44,39.91,0.0,Weekday,Winter,1,3
16,2023-01-03 13:45:00,2023,1,3,13,Tuesday,Site_C,Wind,37.85,37.85,17.44,36.21,9.66,Weekday,Winter,1,3
17,2023-01-03 15:15:00,2023,1,3,15,Tuesday,Site_B,Wind,52.53,52.53,22.5,32.51,9.34,Weekday,Winter,1,3
18,2023-01-04 06:30:00,2023,1,4,6,Wednesday,Site_C,Solar,67.66,67.66,27.7,28.81,0.0,Weekday,Winter,1,4
19,2023-01-04 09:00:00,2023,1,4,9,Wednesday,Site_B,Solar,37.76,37.76,24.42,77.57,0.0,Weekday,Winter,1,4
20,2023-01-04 10:45:00,2023,1,4,10,Wednesday,Site_B,Wind,67.5,67.5,12.31,81.35,11.97,Weekday,Winter,1,4
21,2023-01-04 11:30:00,2023,1,4,11,Wednesday,Site_A,Solar,27.12,27.12,24.37,85.13,0.0,Weekday,Winter,1,4
22,2023-01-04 15:45:00,2023,1,4,15,Wednesday,Site_A,Wind,16.6,16.6,20.93,80.82,4.26,Weekday,Winter,1,4
23,2023-01-04 16:45:00,2023,1,4,16,Wednesday,Site_C,Wind,50.91,50.91,21.13,76.50999999999999,6.69,Weekday,Winter,1,4
24,2023-01-05 06:00:00,2023,1,5,6,Thursday,Site_A,Wind,39.44,39.44,14.57,72.2,7.98,Weekday,Winter,1,5
25,2023-01-05 07:00:00,2023,1,5,7,Thursday,Site_B,Solar,34.89,34.89,19.71,67.89,0.0,Weekday,Winter,1,5
26,2023-01-05 11:00:00,2023,1,5,11,Thursday,Site_B,Wind,49.73,49.73,-2.49,56.06,6.69,Weekday,Winter,1,5
27,2023-01-05 12:15:00,2023,1,5,12,Thursday,Site_C,Wind,36.16,36.16,19.26,44.23,5.95,Weekday,Winter,1,5
28,2023-01-05 12:30:00,2023,1,5,12,Thursday,Site_A,Solar,55.34,55.34,21.66,32.4,0.0,Weekday,Winter,1,5
29,2023-01-05 17:15:00,2023,1,5,17,Thursday,Site_C,Solar,53.89,53.89,26.0,56.32,0.0,Weekday,Winter,1,5
30,2023-01-06 07:15:00,2023,1,6,7,Friday,Site_C,Wind,26.73,26.73,7.4,36.27,4.06,Weekday,Winter,1,6
31,2023-01-06 11:15:00,2023,1,6,11,Friday,Site_A,Solar,70.57,70.57,26.31,16.22,0.0,Weekday,Winter,1,6
32,2023-01-06 12:15:00,2023,1,6,12,Friday,Site_A,Wind,20.97,20.97,1.35,53.11,5.6,Weekday,Winter,1,6
33,2023-01-06 14:30:00,2023,1,6,14,Friday,Site_C,Solar,30.45,30.45,31.85,90.0,0.0,Weekday,Winter,1,6
34,2023-01-06 17:00:00,2023,1,6,17,Friday,Site_B,Wind,31.03,31.03,-0.53,60.495,8.21,Weekday,Winter,1,6
35,2023-01-06 17:15:00,2023,1,6,17,Friday,Site_B,Solar,65.03,65.03,23.25,30.99,0.0,Weekday,Winter,1,6
36,2023-01-07 08:30:00,2023,1,7,8,Saturday,Site_C,Wind,32.0,32.0,9.09,53.845,9.26,Weekend,Winter,1,7
37,2023-01-07 08:45:00,2023,1,7,8,Saturday,Site_C,Solar,32.28,32.28,26.75,76.7,0.0,Weekend,Winter,1,7
38,2023-01-07 10:15:00,2023,1,7,10,Saturday,Site_A,Solar,35.72,35.72,31.28,68.82,0.0,Weekend,Winter,1,7
39,2023-01-07 12:45:00,2023,1,7,12,Saturday,Site_A,Wind,42.73,42.73,21.62,83.71,7.51,Weekend,Winter,1,7
