Datetime,Site,Energy_Type,Energy_Generated_MWh,Capacity_Utilization_%,Temperature_C,Cloud_Cover_%,Wind_Speed_m_s,Day_Type,Season
2023-01-01 16:30:00,Site_A,Solar,28.86,28.86,21.57,74.61,,Weekend,Winter
2023-01-01 09:15:00,Site_A,Wind,43.2,43.2,4.97,,8.0,Weekend,Winter
2023-01-01 06:00:00,Site_B,Solar,66.99,66.99,25.73,20.48,,Weekend,Winter
2023-01-01 17:45:00,Site_B,Wind,67.63,67.63,19.1,,12.56,Weekend,Winter
2023-01-01 07:00:00,Site_C,Solar,67.94,67.94,27.57,37.11,,Weekend,Winter
2023-01-01 11:00:00,Site_C,Wind,44.52,44.52,20.74,,7.88,Weekend,Winter
2023-01-02 11:15:00,Site_A,Solar,35.64,35.64,26.62,63.42,,Weekday,Winter
2023-01-02 11:30:00,Site_A,Wind,27.41,27.41,11.27,,7.84,Weekday,Winter
2023-01-02 12:00:00,Site_B,Solar,91.11,91.11,29.2,1.82,,Weekday,Winter
2023-01-02 15:45:00,Site_B,Wind,47.55,47.55,5.5,,10.01,Weekday,Winter
2023-01-02 14:00:00,Site_C,Solar,31.49,31.49,20.5,72.25,,Weekday,Winter
2023-01-02 17:15:00,Site_C,Wind,33.66,33.66,8.25,,7.89,Weekday,Winter
2023-01-03 08:00:00,Site_A,Solar,32.55,32.55,30.4,83.55,,Weekday,Winter
2023-01-03 06:00:00,Site_A,Wind,49.5,49.5,21.6,,11.66,Weekday,Winter
2023-01-03 09:30:00,Site_B,Solar,60.74,60.74,27.44,39.91,,Weekday,Winter
2023-01-03 15:15:00,Site_B,Wind,52.53,52.53,22.5,,9.34,Weekday,Winter
2023-01-03 09:00:00,Site_C,Solar,53.17,53.17,20.6,44.79,,Weekday,Winter
2023-01-03 13:45:00,Site_C,Wind,37.85,37.85,17.44,,9.66,Weekday,Winter
2023-01-04 11:30:00,Site_A,Solar,27.12,27.12,24.37,85.13,,Weekday,Winter
2023-01-04 15:45:00,Site_A,Wind,16.6,16.6,20.93,,4.26,Weekday,Winter
2023-01-04 09:00:00,Site_B,Solar,37.76,37.76,24.42,77.57,,Weekday,Winter
2023-01-04 10:45:00,Site_B,Wind,67.5,67.5,12.31,,11.97,Weekday,Winter
2023-01-04 06:30:00,Site_C,Solar,67.66,67.66,27.7,28.81,,Weekday,Winter
2023-01-04 16:45:00,Site_C,Wind,50.91,50.91,21.13,,6.69,Weekday,Winter
2023-01-05 12:30:00,Site_A,Solar,55.34,55.34,21.66,32.4,,Weekday,Winter
2023-01-05 06:00:00,Site_A,Wind,39.44,39.44,14.57,,7.98,Weekday,Winter
2023-01-05 07:00:00,Site_B,Solar,34.89,34.89,19.71,67.89,,Weekday,Winter
2023-01-05 11:00:00,Site_B,Wind,49.73,49.73,-2.49,,6.69,Weekday,Winter
2023-01-05 17:15:00,Site_C,Solar,53.89,53.89,26.0,56.32,,Weekday,Winter
2023-01-05 12:15:00,Site_C,Wind,36.16,36.16,19.26,,5.95,Weekday,Winter
2023-01-06 11:15:00,Site_A,Solar,70.57,70.57,26.31,16.22,,Weekday,Winter
2023-01-06 12:15:00,Site_A,Wind,20.97,20.97,1.35,,5.6,Weekday,Winter
2023-01-06 17:15:00,Site_B,Solar,65.03,65.03,23.25,30.99,,Weekday,Winter
2023-01-06 17:00:00,Site_B,Wind,31.03,31.03,-0.53,,8.21,Weekday,Winter
2023-01-06 14:30:00,Site_C,Solar,30.45,30.45,31.85,90.0,,Weekday,Winter
