datetime,year,month,day,hour,day_of_week,site,energy_type,energy_generated_mwh,capacity_utilization_%,temperature_c,cloud_cover_%,wind_speed_m_s,day_type,season
2023-01-01 06:00:00,2023,1,1,6,Sunday,Site_B,Solar,66.99,66.99,25.73,20.48,0.0,Weekend,Winter
2023-01-01 07:00:00,2023,1,1,7,Sunday,Site_C,Solar,67.94,67.94,27.57,37.11,0.0,Weekend,Winter
2023-01-01 09:15:00,2023,1,1,9,Sunday,Site_A,Wind,43.2,43.2,4.97,49.61,8.0,Weekend,Winter
2023-01-01 11:00:00,2023,1,1,11,Sunday,Site_C,Wind,44.52,44.52,20.74,62.11,7.88,Weekend,Winter
2023-01-01 16:30:00,2023,1,1,16,Sunday,Site_A,Solar,28.86,28.86,21.57,74.61,0.0,Weekend,Winter
2023-01-01 17:45:00,2023,1,1,17,Sunday,Site_B,Wind,67.63,67.63,19.1,69.015,12.56,Weekend,Winter
2023-01-02 11:15:00,2023,1,2,11,Monday,Site_A,Solar,35.64,35.64,26.62,63.42,0.0,Weekday,Winter
2023-01-02 11:30:00,2023,1,2,11,Monday,Site_A,Wind,27.41,27.41,11.27,32.620000000000005,7.84,Weekday,Winter
2023-01-02 12:00:00,2023,1,2,12,Monday,Site_B,Solar,91.11,91.11,29.2,1.82,0.0,Weekday,Winter
2023-01-02 14:00:00,2023,1,2,14,Monday,Site_C,Solar,31.49,31.49,20.5,72.25,0.0,Weekday,Winter
2023-01-02 15:45:00,2023,1,2,15,Monday,Site_B,Wind,47.55,47.55,5.5,75.075,10.01,Weekday,Winter
2023-01-02 17:15:00,2023,1,2,17,Monday,Site_C,Wind,33.66,33.66,8.25,77.9,7.89,Weekday,Winter
2023-01-03 06:00:00,2023,1,3,6,Tuesday,Site_A,Wind,49.5,49.5,21.6,80.725,11.66,Weekday,Winter
2023-01-03 08:00:00,2023,1,3,8,Tuesday,Site_A,Solar,32.55,32.55,30.4,83.55,0.0,Weekday,Winter
2023-01-03 09:00:00,2023,1,3,9,Tuesday,Site_C,Solar,53.17,53.17,20.6,44.79,0.0,Weekday,Winter
2023-01-03 09:30:00,2023,1,3,9,Tuesday,Site_B,Solar,60.74,60.74,27.44,39.91,0.0,Weekday,Winter
2023-01-03 13:45:00,2023,1,3,13,Tuesday,Site_C,Wind,37.85,37.85,17.44,36.209999999999994,9.66,Weekday,Winter
